Averaged Runs,Iteration,Algorithm,Fitness,Time (ns),Initial Temp,Decay
5,2048,SA,4946.8,6.601346E7,1.0,0.99
5,2048,SA,4942.4,6.57799E7,1.0,0.999
5,2048,SA,4920.0,6.616718E7,1.0,0.9999
5,2048,SA,4920.0,6.617068E7,1.0,0.99999
5,2048,SA,4945.8,6.658508E7,10.0,0.9
5,2048,SA,4946.2,6.632986E7,10.0,0.99
5,2048,SA,4908.2,6.682542E7,10.0,0.999
5,2048,SA,4897.0,6.67706E7,10.0,0.9999
5,2048,SA,4892.2,6.656774E7,10.0,0.99999
5,2048,SA,4947.4,6.647752E7,100.0,0.9
5,2048,SA,4946.6,6.590218E7,100.0,0.99
5,2048,SA,4885.4,6.695858E7,100.0,0.999
5,2048,SA,4882.8,6.677548E7,100.0,0.9999
5,2048,SA,4885.6,6.7274E7,100.0,0.99999
5,2048,SA,4946.8,6.606744E7,1000.0,0.9
5,2048,SA,4945.6,6.637672E7,1000.0,0.99
5,2048,SA,4884.0,6.641756E7,1000.0,0.999
5,2048,SA,4881.6,6.656368E7,1000.0,0.9999
5,2048,SA,4885.4,6.673894E7,1000.0,0.99999
5,2048,SA,4947.0,6.60183E7,10000.0,0.9
5,2048,SA,4945.2,6.573234E7,10000.0,0.99
5,2048,SA,4883.0,6.670832E7,10000.0,0.999
5,2048,SA,4882.8,6.734008E7,10000.0,0.9999
5,2048,SA,4883.0,6.654508E7,10000.0,0.99999
5,2048,SA,4946.8,6.611104E7,100000.0,0.9
5,2048,SA,4941.2,6.612884E7,100000.0,0.99
5,2048,SA,4890.8,6.663702E7,100000.0,0.999
5,2048,SA,4884.0,6.6528E7,100000.0,0.9999
5,2048,SA,4885.8,6.65227E7,100000.0,0.99999
5,4096,SA,4948.8,1.3273472E8,0.1,0.9
5,4096,SA,4948.0,1.3231812E8,0.1,0.99
5,4096,SA,4948.4,1.3092708E8,0.1,0.999
5,4096,SA,4949.2,1.306389E8,0.1,0.9999
5,4096,SA,4949.2,1.3159646E8,0.1,0.99999
5,4096,SA,4949.4,1.3286364E8,1.0,0.9
5,4096,SA,4948.4,1.3261556E8,1.0,0.99
5,4096,SA,4948.2,1.3102206E8,1.0,0.999
5,4096,SA,4927.6,1.3225686E8,1.0,0.9999
